year_1,region,country_cd,mtrl_grp_cd,mtrl_prc_grp_cd,mct,basic_material,cost_eur_kcs,cost_eur_mk,cost_usd_kcs,cost_usd_mk,row_inserted_by,row_insert_timestamp,row_updated_by,row_update_timestamp,row_status,refresh_datetime
2024,6,VN,H189,TQ,ALG,10773573,517.0645,2.8519,553.259,3.0516,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,PK,H189,TQ,ALG,10773573,517.0645,2.8519,553.259,3.0516,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2023,6,,H189,TQ,ALG,10773573,516.05,2.85,521.2105,2.8785,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,TH,H189,TQ,ALG,10773573,517.0645,2.8519,553.259,3.0516,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,MY,H189,TQ,ALG,10773573,517.0645,2.8519,553.259,3.0516,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,,H189,TQ,ALG,10773573,545.014,3.0061,583.1649,3.2165,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,LK,H189,TQ,ALG,10776220,74.2417,0.4455,79.4386,0.4767,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,,H189,TQ,ALG,10776220,72.1726,0.4332,77.2246,0.4634,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,BD,H189,TQ,ALG,10776220,74.2417,0.4455,79.4386,0.4767,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,NP,H189,TQ,ALG,10776220,74.2417,0.4455,79.4386,0.4767,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
